"iteration","training-loss","Grouped runs - lm-loss-training/lm loss__MIN","Grouped runs - lm-loss-training/lm loss__MAX"
"1","11.645755767822266","11.645755767822266","11.645755767822266"
"2","11.646085739135742","11.646085739135742","11.646085739135742"
"3","11.646448135375977","11.646448135375977","11.646448135375977"
"4","11.640690803527832","11.640690803527832","11.640690803527832"
"5","11.60869026184082","11.60869026184082","11.60869026184082"
"6","11.497170448303223","11.497170448303223","11.497170448303223"
"7","11.153285026550293","11.153285026550293","11.153285026550293"
"8","10.238838195800781","10.238838195800781","10.238838195800781"
"9","10.132829666137695","10.132829666137695","10.132829666137695"
"10","9.941643714904785","9.941643714904785","9.941643714904785"
"11","10.113005638122559","10.113005638122559","10.113005638122559"
"12","9.666004180908203","9.666004180908203","9.666004180908203"
"13","9.392603874206543","9.392603874206543","9.392603874206543"
"14","9.65587043762207","9.65587043762207","9.65587043762207"
"15","9.507166862487793","9.507166862487793","9.507166862487793"
"16","9.279962539672852","9.279962539672852","9.279962539672852"
"17","9.155101776123047","9.155101776123047","9.155101776123047"
"18","9.0950927734375","9.0950927734375","9.0950927734375"
"19","9.040589332580566","9.040589332580566","9.040589332580566"
"20","9.007718086242676","9.007718086242676","9.007718086242676"
"21","8.898629188537598","8.898629188537598","8.898629188537598"
"22","8.836845397949219","8.836845397949219","8.836845397949219"
"23","8.81264877319336","8.81264877319336","8.81264877319336"
"24","8.738670349121094","8.738670349121094","8.738670349121094"
"25","8.692134857177734","8.692134857177734","8.692134857177734"
"26","8.632722854614258","8.632722854614258","8.632722854614258"
"27","8.6380615234375","8.6380615234375","8.6380615234375"
"28","8.617782592773438","8.617782592773438","8.617782592773438"
"29","8.582015037536621","8.582015037536621","8.582015037536621"
"30","8.513967514038086","8.513967514038086","8.513967514038086"
"31","8.529411315917969","8.529411315917969","8.529411315917969"
"32","8.526552200317383","8.526552200317383","8.526552200317383"
"33","8.477914810180664","8.477914810180664","8.477914810180664"
"34","8.480106353759766","8.480106353759766","8.480106353759766"
"35","8.495660781860352","8.495660781860352","8.495660781860352"
"36","8.439321517944336","8.439321517944336","8.439321517944336"
"37","8.432477951049805","8.432477951049805","8.432477951049805"
"38","8.40074348449707","8.40074348449707","8.40074348449707"
"39","8.346229553222656","8.346229553222656","8.346229553222656"
"40","8.296272277832031","8.296272277832031","8.296272277832031"
"41","8.31060791015625","8.31060791015625","8.31060791015625"
"42","8.299345016479492","8.299345016479492","8.299345016479492"
"43","8.279720306396484","8.279720306396484","8.279720306396484"
"44","8.271308898925781","8.271308898925781","8.271308898925781"
"45","8.263528823852539","8.263528823852539","8.263528823852539"
"46","8.199849128723145","8.199849128723145","8.199849128723145"
"47","8.189659118652344","8.189659118652344","8.189659118652344"
"48","8.160399436950684","8.160399436950684","8.160399436950684"
"49","8.12683391571045","8.12683391571045","8.12683391571045"
"50","8.12127685546875","8.12127685546875","8.12127685546875"
"51","8.124027252197266","8.124027252197266","8.124027252197266"
"52","8.029184341430664","8.029184341430664","8.029184341430664"
"53","8.03758430480957","8.03758430480957","8.03758430480957"
"54","8.05139446258545","8.05139446258545","8.05139446258545"
"55","8.032066345214844","8.032066345214844","8.032066345214844"
"56","8.003377914428711","8.003377914428711","8.003377914428711"
"57","8.011683464050293","8.011683464050293","8.011683464050293"
"58","7.968132495880127","7.968132495880127","7.968132495880127"
"59","7.944921493530273","7.944921493530273","7.944921493530273"
"60","7.978671073913574","7.978671073913574","7.978671073913574"
"61","7.969329833984375","7.969329833984375","7.969329833984375"
"62","7.897984027862549","7.897984027862549","7.897984027862549"
"63","7.889962196350098","7.889962196350098","7.889962196350098"
"64","7.833295822143555","7.833295822143555","7.833295822143555"
"65","7.849733352661133","7.849733352661133","7.849733352661133"
"66","7.7955098152160645","7.7955098152160645","7.7955098152160645"
"67","7.814456939697266","7.814456939697266","7.814456939697266"
"68","7.745070934295654","7.745070934295654","7.745070934295654"
"69","7.749528408050537","7.749528408050537","7.749528408050537"
"70","7.746260643005371","7.746260643005371","7.746260643005371"
"71","7.714306354522705","7.714306354522705","7.714306354522705"
"72","7.744211196899414","7.744211196899414","7.744211196899414"
"73","7.703398704528809","7.703398704528809","7.703398704528809"
"74","7.657662391662598","7.657662391662598","7.657662391662598"
"75","7.682330131530762","7.682330131530762","7.682330131530762"
"76","7.588295936584473","7.588295936584473","7.588295936584473"
"77","7.577239036560059","7.577239036560059","7.577239036560059"
"78","7.5908942222595215","7.5908942222595215","7.5908942222595215"
"79","7.552126884460449","7.552126884460449","7.552126884460449"
"80","7.51950740814209","7.51950740814209","7.51950740814209"
"81","7.490945816040039","7.490945816040039","7.490945816040039"
"82","7.473606109619141","7.473606109619141","7.473606109619141"
"83","7.441055774688721","7.441055774688721","7.441055774688721"
"84","7.427423000335693","7.427423000335693","7.427423000335693"
"85","7.440193176269531","7.440193176269531","7.440193176269531"
"86","7.413712978363037","7.413712978363037","7.413712978363037"
"87","7.3735456466674805","7.3735456466674805","7.3735456466674805"
"88","7.40789794921875","7.40789794921875","7.40789794921875"
"89","7.342896938323975","7.342896938323975","7.342896938323975"
"90","7.3777313232421875","7.3777313232421875","7.3777313232421875"
"91","7.3705153465271","7.3705153465271","7.3705153465271"
"92","7.311513900756836","7.311513900756836","7.311513900756836"
"93","7.3027849197387695","7.3027849197387695","7.3027849197387695"
"94","7.264028549194336","7.264028549194336","7.264028549194336"
"95","7.299212455749512","7.299212455749512","7.299212455749512"
"96","7.251315116882324","7.251315116882324","7.251315116882324"
"97","7.2452545166015625","7.2452545166015625","7.2452545166015625"
"98","7.243534564971924","7.243534564971924","7.243534564971924"
"99","7.22982120513916","7.22982120513916","7.22982120513916"
"100","7.195287704467773","7.195287704467773","7.195287704467773"
"101","7.170263290405273","7.170263290405273","7.170263290405273"
"102","7.135245323181152","7.135245323181152","7.135245323181152"
"103","7.139134407043457","7.139134407043457","7.139134407043457"
"104","7.078081130981445","7.078081130981445","7.078081130981445"
"105","7.116944313049316","7.116944313049316","7.116944313049316"
"106","7.1693501472473145","7.1693501472473145","7.1693501472473145"
"107","7.0812273025512695","7.0812273025512695","7.0812273025512695"
"108","7.041818618774414","7.041818618774414","7.041818618774414"
"109","7.037448883056641","7.037448883056641","7.037448883056641"
"110","7.017767906188965","7.017767906188965","7.017767906188965"
"111","6.999166488647461","6.999166488647461","6.999166488647461"
"112","6.992805004119873","6.992805004119873","6.992805004119873"
"113","7.016855239868164","7.016855239868164","7.016855239868164"
"114","7.039743423461914","7.039743423461914","7.039743423461914"
"115","7.015690803527832","7.015690803527832","7.015690803527832"
"116","6.961742401123047","6.961742401123047","6.961742401123047"
"117","7.009910583496094","7.009910583496094","7.009910583496094"
"118","6.942975997924805","6.942975997924805","6.942975997924805"
"119","6.931143760681152","6.931143760681152","6.931143760681152"
"120","6.915925025939941","6.915925025939941","6.915925025939941"
"121","6.880464553833008","6.880464553833008","6.880464553833008"
"122","6.871926307678223","6.871926307678223","6.871926307678223"
"123","6.830752849578857","6.830752849578857","6.830752849578857"
"124","6.817445755004883","6.817445755004883","6.817445755004883"
"125","6.8105621337890625","6.8105621337890625","6.8105621337890625"
"126","6.857364177703857","6.857364177703857","6.857364177703857"
"127","6.8545331954956055","6.8545331954956055","6.8545331954956055"
"128","6.826950550079346","6.826950550079346","6.826950550079346"
"129","6.790907859802246","6.790907859802246","6.790907859802246"
"130","6.781557083129883","6.781557083129883","6.781557083129883"
"131","6.710050582885742","6.710050582885742","6.710050582885742"
"132","6.762228012084961","6.762228012084961","6.762228012084961"
"133","6.764092922210693","6.764092922210693","6.764092922210693"
"134","6.70286750793457","6.70286750793457","6.70286750793457"
"135","6.732699394226074","6.732699394226074","6.732699394226074"
"136","6.734189033508301","6.734189033508301","6.734189033508301"
"137","6.701702117919922","6.701702117919922","6.701702117919922"
"138","6.630819320678711","6.630819320678711","6.630819320678711"
"139","6.656067371368408","6.656067371368408","6.656067371368408"
"140","6.669434547424316","6.669434547424316","6.669434547424316"
"141","6.668838024139404","6.668838024139404","6.668838024139404"
"142","6.641793251037598","6.641793251037598","6.641793251037598"
"143","6.59579610824585","6.59579610824585","6.59579610824585"
"144","6.649462699890137","6.649462699890137","6.649462699890137"
"145","6.633737087249756","6.633737087249756","6.633737087249756"
"146","6.646180152893066","6.646180152893066","6.646180152893066"
"147","6.641627311706543","6.641627311706543","6.641627311706543"
"148","6.598160266876221","6.598160266876221","6.598160266876221"
"149","6.572854518890381","6.572854518890381","6.572854518890381"
"150","6.552002906799316","6.552002906799316","6.552002906799316"
"151","6.576430797576904","6.576430797576904","6.576430797576904"
"152","6.593418598175049","6.593418598175049","6.593418598175049"
"153","6.54936408996582","6.54936408996582","6.54936408996582"
"154","6.56277322769165","6.56277322769165","6.56277322769165"
"155","6.538510322570801","6.538510322570801","6.538510322570801"
"156","6.4731645584106445","6.4731645584106445","6.4731645584106445"
"157","6.566623687744141","6.566623687744141","6.566623687744141"
"158","6.564605236053467","6.564605236053467","6.564605236053467"
"159","6.50076150894165","6.50076150894165","6.50076150894165"
"160","6.477991104125977","6.477991104125977","6.477991104125977"
"161","6.519373893737793","6.519373893737793","6.519373893737793"
"162","6.490241050720215","6.490241050720215","6.490241050720215"
"163","6.430654048919678","6.430654048919678","6.430654048919678"
"164","6.42043399810791","6.42043399810791","6.42043399810791"
"165","6.431824684143066","6.431824684143066","6.431824684143066"
"166","6.42948055267334","6.42948055267334","6.42948055267334"
"167","6.403860569000244","6.403860569000244","6.403860569000244"
"168","6.423993110656738","6.423993110656738","6.423993110656738"
"169","6.398880481719971","6.398880481719971","6.398880481719971"
"170","6.368763446807861","6.368763446807861","6.368763446807861"
"171","6.363999366760254","6.363999366760254","6.363999366760254"
"172","6.338548183441162","6.338548183441162","6.338548183441162"
"173","6.3613786697387695","6.3613786697387695","6.3613786697387695"
"174","6.311691761016846","6.311691761016846","6.311691761016846"
"175","6.343421936035156","6.343421936035156","6.343421936035156"
"176","6.36053466796875","6.36053466796875","6.36053466796875"
"177","6.36911678314209","6.36911678314209","6.36911678314209"
"178","6.350587368011475","6.350587368011475","6.350587368011475"
"179","6.3054022789001465","6.3054022789001465","6.3054022789001465"
"180","6.327081203460693","6.327081203460693","6.327081203460693"
"181","6.316473960876465","6.316473960876465","6.316473960876465"
"182","6.2988433837890625","6.2988433837890625","6.2988433837890625"
"183","6.293763637542725","6.293763637542725","6.293763637542725"
"184","6.292855739593506","6.292855739593506","6.292855739593506"
"185","6.324833393096924","6.324833393096924","6.324833393096924"
"186","6.281040191650391","6.281040191650391","6.281040191650391"
"187","6.297768592834473","6.297768592834473","6.297768592834473"
"188","6.250432968139648","6.250432968139648","6.250432968139648"
"189","6.229583263397217","6.229583263397217","6.229583263397217"
"190","6.237332820892334","6.237332820892334","6.237332820892334"
"191","6.2215962409973145","6.2215962409973145","6.2215962409973145"
"192","6.204561233520508","6.204561233520508","6.204561233520508"
"193","6.2084832191467285","6.2084832191467285","6.2084832191467285"
"194","6.277461528778076","6.277461528778076","6.277461528778076"
"195","6.251842498779297","6.251842498779297","6.251842498779297"
"196","6.24306583404541","6.24306583404541","6.24306583404541"
"197","6.195159912109375","6.195159912109375","6.195159912109375"
"198","6.179364204406738","6.179364204406738","6.179364204406738"
"199","6.213479995727539","6.213479995727539","6.213479995727539"
"200","6.176514625549316","6.176514625549316","6.176514625549316"
"201","6.218853950500488","6.218853950500488","6.218853950500488"
"202","6.17707633972168","6.17707633972168","6.17707633972168"
"203","6.149393081665039","6.149393081665039","6.149393081665039"
"204","6.174840450286865","6.174840450286865","6.174840450286865"
"205","6.146515369415283","6.146515369415283","6.146515369415283"
"206","6.103479385375977","6.103479385375977","6.103479385375977"
"207","6.151045799255371","6.151045799255371","6.151045799255371"
"208","6.1839799880981445","6.1839799880981445","6.1839799880981445"
"209","6.143573760986328","6.143573760986328","6.143573760986328"
"210","6.1345319747924805","6.1345319747924805","6.1345319747924805"
"211","6.179875373840332","6.179875373840332","6.179875373840332"
"212","6.123597145080566","6.123597145080566","6.123597145080566"
"213","6.126978397369385","6.126978397369385","6.126978397369385"
"214","6.140280723571777","6.140280723571777","6.140280723571777"
"215","6.126060962677002","6.126060962677002","6.126060962677002"
"216","6.102059841156006","6.102059841156006","6.102059841156006"
"217","6.103147506713867","6.103147506713867","6.103147506713867"
"218","6.049665451049805","6.049665451049805","6.049665451049805"
"219","6.122276306152344","6.122276306152344","6.122276306152344"
"220","6.082902431488037","6.082902431488037","6.082902431488037"
"221","6.0825371742248535","6.0825371742248535","6.0825371742248535"
"222","6.033241271972656","6.033241271972656","6.033241271972656"
"223","6.058347702026367","6.058347702026367","6.058347702026367"
"224","6.0576066970825195","6.0576066970825195","6.0576066970825195"
"225","6.094382286071777","6.094382286071777","6.094382286071777"
"226","6.069162845611572","6.069162845611572","6.069162845611572"
"227","6.029429912567139","6.029429912567139","6.029429912567139"
"228","6.046864032745361","6.046864032745361","6.046864032745361"
"229","6.063983917236328","6.063983917236328","6.063983917236328"
"230","6.052242279052734","6.052242279052734","6.052242279052734"
"231","6.037987232208252","6.037987232208252","6.037987232208252"
"232","6.0298285484313965","6.0298285484313965","6.0298285484313965"
"233","6.014120578765869","6.014120578765869","6.014120578765869"
"234","6.052899360656738","6.052899360656738","6.052899360656738"
"235","6.013830661773682","6.013830661773682","6.013830661773682"
"236","6.043013572692871","6.043013572692871","6.043013572692871"
"237","5.991155624389648","5.991155624389648","5.991155624389648"
"238","6.012388706207275","6.012388706207275","6.012388706207275"
"239","6.040011405944824","6.040011405944824","6.040011405944824"
