"iteration","training-loss","Grouped runs - lm-loss-training/lm loss__MIN","Grouped runs - lm-loss-training/lm loss__MAX"
"2","6.861056327819824","6.861056327819824","6.861056327819824"
"3","6.852874279022217","6.852874279022217","6.852874279022217"
"4","6.823252201080322","6.823252201080322","6.823252201080322"
"5","6.847635746002197","6.847635746002197","6.847635746002197"
"6","6.847499847412109","6.847499847412109","6.847499847412109"
"7","6.824341773986816","6.824341773986816","6.824341773986816"
"8","6.848197937011719","6.848197937011719","6.848197937011719"
"9","6.766393184661865","6.766393184661865","6.766393184661865"
"10","6.765405178070068","6.765405178070068","6.765405178070068"
"11","6.7490234375","6.7490234375","6.7490234375"
"12","6.491547584533691","6.491547584533691","6.491547584533691"
"13","6.481257915496826","6.481257915496826","6.481257915496826"
"14","6.436809062957764","6.436809062957764","6.436809062957764"
"15","5.989604473114014","5.989604473114014","5.989604473114014"
"16","6.004347324371338","6.004347324371338","6.004347324371338"
"17","5.974839210510254","5.974839210510254","5.974839210510254"
"18","5.899805545806885","5.899805545806885","5.899805545806885"
"19","5.911509990692139","5.911509990692139","5.911509990692139"
"20","5.770096778869629","5.770096778869629","5.770096778869629"
"21","5.695130825042725","5.695130825042725","5.695130825042725"
"22","5.643669605255127","5.643669605255127","5.643669605255127"
"23","5.544483184814453","5.544483184814453","5.544483184814453"
"24","5.513446807861328","5.513446807861328","5.513446807861328"
"25","5.503406047821045","5.503406047821045","5.503406047821045"
"26","5.423824310302734","5.423824310302734","5.423824310302734"
"27","5.3791913986206055","5.3791913986206055","5.3791913986206055"
"28","5.192850112915039","5.192850112915039","5.192850112915039"
"29","5.152428150177002","5.152428150177002","5.152428150177002"
"30","5.061190605163574","5.061190605163574","5.061190605163574"
"31","5.051067352294922","5.051067352294922","5.051067352294922"
"32","4.983279228210449","4.983279228210449","4.983279228210449"
"33","4.950634956359863","4.950634956359863","4.950634956359863"
"34","4.875626564025879","4.875626564025879","4.875626564025879"
"35","4.881043910980225","4.881043910980225","4.881043910980225"
"36","4.834437370300293","4.834437370300293","4.834437370300293"
"37","4.749204635620117","4.749204635620117","4.749204635620117"
"38","4.663506984710693","4.663506984710693","4.663506984710693"
"39","4.64148473739624","4.64148473739624","4.64148473739624"
"40","4.583549499511719","4.583549499511719","4.583549499511719"
"41","4.529698371887207","4.529698371887207","4.529698371887207"
"42","4.469711780548096","4.469711780548096","4.469711780548096"
"43","4.459758281707764","4.459758281707764","4.459758281707764"
"44","4.390735149383545","4.390735149383545","4.390735149383545"
"45","4.353949069976807","4.353949069976807","4.353949069976807"
"46","4.321845531463623","4.321845531463623","4.321845531463623"
"47","4.266380786895752","4.266380786895752","4.266380786895752"
"48","4.285988807678223","4.285988807678223","4.285988807678223"
"49","4.244297027587891","4.244297027587891","4.244297027587891"
"50","4.178954124450684","4.178954124450684","4.178954124450684"
"51","4.177511692047119","4.177511692047119","4.177511692047119"
"52","4.157220840454102","4.157220840454102","4.157220840454102"
"53","4.137164115905762","4.137164115905762","4.137164115905762"
"54","4.010308742523193","4.010308742523193","4.010308742523193"
"55","4.06325626373291","4.06325626373291","4.06325626373291"
"56","4.028870582580566","4.028870582580566","4.028870582580566"
"57","3.950648307800293","3.950648307800293","3.950648307800293"
"58","3.902308940887451","3.902308940887451","3.902308940887451"
"59","3.9139039516448975","3.9139039516448975","3.9139039516448975"
"60","3.89294695854187","3.89294695854187","3.89294695854187"
"61","3.870605945587158","3.870605945587158","3.870605945587158"
"62","3.832136392593384","3.832136392593384","3.832136392593384"
"63","3.793036937713623","3.793036937713623","3.793036937713623"
"64","3.771634340286255","3.771634340286255","3.771634340286255"
"65","3.773479700088501","3.773479700088501","3.773479700088501"
"66","3.6970207691192627","3.6970207691192627","3.6970207691192627"
"67","3.69423508644104","3.69423508644104","3.69423508644104"
"68","3.663266658782959","3.663266658782959","3.663266658782959"
"69","3.655836343765259","3.655836343765259","3.655836343765259"
"70","3.6305978298187256","3.6305978298187256","3.6305978298187256"
"71","3.6125009059906006","3.6125009059906006","3.6125009059906006"
"72","3.566030263900757","3.566030263900757","3.566030263900757"
"73","3.565875768661499","3.565875768661499","3.565875768661499"
"74","3.535417318344116","3.535417318344116","3.535417318344116"
"75","3.517606019973755","3.517606019973755","3.517606019973755"
"76","3.5171008110046387","3.5171008110046387","3.5171008110046387"
"77","3.44136905670166","3.44136905670166","3.44136905670166"
"78","3.4527950286865234","3.4527950286865234","3.4527950286865234"
"79","3.398026466369629","3.398026466369629","3.398026466369629"
"80","3.3943827152252197","3.3943827152252197","3.3943827152252197"
"81","3.3803701400756836","3.3803701400756836","3.3803701400756836"
"82","3.4030213356018066","3.4030213356018066","3.4030213356018066"
"83","3.3453948497772217","3.3453948497772217","3.3453948497772217"
"84","3.364104747772217","3.364104747772217","3.364104747772217"
"85","3.33443284034729","3.33443284034729","3.33443284034729"
"86","3.3358030319213867","3.3358030319213867","3.3358030319213867"
"87","3.2804317474365234","3.2804317474365234","3.2804317474365234"
"88","3.286193609237671","3.286193609237671","3.286193609237671"
"89","3.2918875217437744","3.2918875217437744","3.2918875217437744"
"90","3.2453341484069824","3.2453341484069824","3.2453341484069824"
"91","3.2744429111480713","3.2744429111480713","3.2744429111480713"
"92","3.2543509006500244","3.2543509006500244","3.2543509006500244"
"93","3.2330918312072754","3.2330918312072754","3.2330918312072754"
"94","3.201012134552002","3.201012134552002","3.201012134552002"
"95","3.194563150405884","3.194563150405884","3.194563150405884"
"96","3.2102603912353516","3.2102603912353516","3.2102603912353516"
"97","3.175734758377075","3.175734758377075","3.175734758377075"
"98","3.129591464996338","3.129591464996338","3.129591464996338"
"99","3.1513545513153076","3.1513545513153076","3.1513545513153076"
"100","3.1298880577087402","3.1298880577087402","3.1298880577087402"
"101","3.149028778076172","3.149028778076172","3.149028778076172"
"102","3.127275228500366","3.127275228500366","3.127275228500366"
"103","3.1018593311309814","3.1018593311309814","3.1018593311309814"
"104","3.063213348388672","3.063213348388672","3.063213348388672"
"105","3.0648229122161865","3.0648229122161865","3.0648229122161865"
"106","3.079251289367676","3.079251289367676","3.079251289367676"
"107","3.08552622795105","3.08552622795105","3.08552622795105"
"108","3.0100743770599365","3.0100743770599365","3.0100743770599365"
"109","3.0726449489593506","3.0726449489593506","3.0726449489593506"
"110","3.0808916091918945","3.0808916091918945","3.0808916091918945"
"111","3.0243210792541504","3.0243210792541504","3.0243210792541504"
"112","2.998464822769165","2.998464822769165","2.998464822769165"
"113","3.0041046142578125","3.0041046142578125","3.0041046142578125"
"114","3.0368432998657227","3.0368432998657227","3.0368432998657227"
"115","3.0251834392547607","3.0251834392547607","3.0251834392547607"
"116","2.992647409439087","2.992647409439087","2.992647409439087"
"117","2.962456703186035","2.962456703186035","2.962456703186035"
"118","2.98085618019104","2.98085618019104","2.98085618019104"
"119","2.9540281295776367","2.9540281295776367","2.9540281295776367"
"120","2.9644293785095215","2.9644293785095215","2.9644293785095215"
"121","2.965561866760254","2.965561866760254","2.965561866760254"
"122","2.9405195713043213","2.9405195713043213","2.9405195713043213"
"123","2.9239044189453125","2.9239044189453125","2.9239044189453125"
"124","2.9129984378814697","2.9129984378814697","2.9129984378814697"
"125","2.9207088947296143","2.9207088947296143","2.9207088947296143"
"126","2.904492139816284","2.904492139816284","2.904492139816284"
"127","2.912771701812744","2.912771701812744","2.912771701812744"
"128","2.9088499546051025","2.9088499546051025","2.9088499546051025"
"129","2.883169412612915","2.883169412612915","2.883169412612915"
"130","2.8710052967071533","2.8710052967071533","2.8710052967071533"
"131","2.8583104610443115","2.8583104610443115","2.8583104610443115"
"132","2.871034622192383","2.871034622192383","2.871034622192383"
"133","2.8541791439056396","2.8541791439056396","2.8541791439056396"
"134","2.844322919845581","2.844322919845581","2.844322919845581"
"135","2.843963146209717","2.843963146209717","2.843963146209717"
"136","2.832338809967041","2.832338809967041","2.832338809967041"
"137","2.8676793575286865","2.8676793575286865","2.8676793575286865"
"138","2.808204412460327","2.808204412460327","2.808204412460327"
"139","2.8201489448547363","2.8201489448547363","2.8201489448547363"
"140","2.8041203022003174","2.8041203022003174","2.8041203022003174"
"141","2.7798264026641846","2.7798264026641846","2.7798264026641846"
"142","2.800102472305298","2.800102472305298","2.800102472305298"
"143","2.7931840419769287","2.7931840419769287","2.7931840419769287"
"144","2.7656190395355225","2.7656190395355225","2.7656190395355225"
"145","2.777268648147583","2.777268648147583","2.777268648147583"
"146","2.7843692302703857","2.7843692302703857","2.7843692302703857"
"147","2.782917022705078","2.782917022705078","2.782917022705078"
"148","2.7604098320007324","2.7604098320007324","2.7604098320007324"
"149","2.751746654510498","2.751746654510498","2.751746654510498"
"150","2.765353202819824","2.765353202819824","2.765353202819824"
"151","2.742069721221924","2.742069721221924","2.742069721221924"
"152","2.7462074756622314","2.7462074756622314","2.7462074756622314"
"153","2.7022738456726074","2.7022738456726074","2.7022738456726074"
"154","2.728675365447998","2.728675365447998","2.728675365447998"
"155","2.69698429107666","2.69698429107666","2.69698429107666"
"156","2.7002320289611816","2.7002320289611816","2.7002320289611816"
"157","2.6911098957061768","2.6911098957061768","2.6911098957061768"
"158","2.6598119735717773","2.6598119735717773","2.6598119735717773"
"159","2.694272756576538","2.694272756576538","2.694272756576538"
"160","2.6872246265411377","2.6872246265411377","2.6872246265411377"
"161","2.6886866092681885","2.6886866092681885","2.6886866092681885"
"162","2.7132906913757324","2.7132906913757324","2.7132906913757324"
"163","2.6566250324249268","2.6566250324249268","2.6566250324249268"
"164","2.6967873573303223","2.6967873573303223","2.6967873573303223"
"165","2.6763532161712646","2.6763532161712646","2.6763532161712646"
"166","2.682713747024536","2.682713747024536","2.682713747024536"
"167","2.6435959339141846","2.6435959339141846","2.6435959339141846"
