"iteration","training-loss","llama-2-13b-base-extended-okazaki-lab-cc-a100-8node-64gpu-4096s-DP=8-TP=2-PP=4-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1-2023-11-06-02-41-24 - lm-loss-training/lm loss__MIN","llama-2-13b-base-extended-okazaki-lab-cc-a100-8node-64gpu-4096s-DP=8-TP=2-PP=4-BS=1024-LR=1e-4-MINLR=3.3e-6-WARMUP=1000-WD=0.1-GC=1-2023-11-06-02-41-24 - lm-loss-training/lm loss__MAX"
"2","6.8715996742248535","6.8715996742248535","6.8715996742248535"
"3","6.906647682189941","6.906647682189941","6.906647682189941"
"4","6.908486843109131","6.908486843109131","6.908486843109131"
"5","6.891528606414795","6.891528606414795","6.891528606414795"
"6","6.8848676681518555","6.8848676681518555","6.8848676681518555"
"7","6.875519752502441","6.875519752502441","6.875519752502441"
"8","6.865774631500244","6.865774631500244","6.865774631500244"
"9","6.796597480773926","6.796597480773926","6.796597480773926"
"10","6.8004655838012695","6.8004655838012695","6.8004655838012695"
"11","6.761186122894287","6.761186122894287","6.761186122894287"
"12","6.5506391525268555","6.5506391525268555","6.5506391525268555"
"13","6.523550987243652","6.523550987243652","6.523550987243652"
"14","6.482694625854492","6.482694625854492","6.482694625854492"
"15","6.057022571563721","6.057022571563721","6.057022571563721"
"16","6.000527381896973","6.000527381896973","6.000527381896973"
"17","5.973011493682861","5.973011493682861","5.973011493682861"
"18","5.932255268096924","5.932255268096924","5.932255268096924"
"19","5.916140556335449","5.916140556335449","5.916140556335449"
"20","5.770676612854004","5.770676612854004","5.770676612854004"
"21","5.744919776916504","5.744919776916504","5.744919776916504"
"22","5.695415496826172","5.695415496826172","5.695415496826172"
"23","5.62221622467041","5.62221622467041","5.62221622467041"
"24","5.572162628173828","5.572162628173828","5.572162628173828"
"25","5.525372505187988","5.525372505187988","5.525372505187988"
"26","5.5059709548950195","5.5059709548950195","5.5059709548950195"
"27","5.454215049743652","5.454215049743652","5.454215049743652"
"28","5.315399646759033","5.315399646759033","5.315399646759033"
"29","5.2548065185546875","5.2548065185546875","5.2548065185546875"
"30","5.187774181365967","5.187774181365967","5.187774181365967"
"31","5.147988319396973","5.147988319396973","5.147988319396973"
"32","5.075985431671143","5.075985431671143","5.075985431671143"
"33","5.055842399597168","5.055842399597168","5.055842399597168"
"34","4.968758583068848","4.968758583068848","4.968758583068848"
"35","4.939977645874023","4.939977645874023","4.939977645874023"
"36","4.892723560333252","4.892723560333252","4.892723560333252"
"37","4.829183578491211","4.829183578491211","4.829183578491211"
"38","4.797121524810791","4.797121524810791","4.797121524810791"
"39","4.735969066619873","4.735969066619873","4.735969066619873"
"40","4.6790313720703125","4.6790313720703125","4.6790313720703125"
"41","4.627081394195557","4.627081394195557","4.627081394195557"
"42","4.584563732147217","4.584563732147217","4.584563732147217"
"43","4.54525899887085","4.54525899887085","4.54525899887085"
"44","4.498862266540527","4.498862266540527","4.498862266540527"
"45","4.46395206451416","4.46395206451416","4.46395206451416"
"46","4.397919654846191","4.397919654846191","4.397919654846191"
"47","4.354721546173096","4.354721546173096","4.354721546173096"
"48","4.323386192321777","4.323386192321777","4.323386192321777"
"49","4.28209114074707","4.28209114074707","4.28209114074707"
"50","4.248391151428223","4.248391151428223","4.248391151428223"
"51","4.228423118591309","4.228423118591309","4.228423118591309"
"52","4.170895576477051","4.170895576477051","4.170895576477051"
"53","4.154298305511475","4.154298305511475","4.154298305511475"
"54","4.119404315948486","4.119404315948486","4.119404315948486"
"55","4.062225341796875","4.062225341796875","4.062225341796875"
"56","4.055490016937256","4.055490016937256","4.055490016937256"
"57","3.9991328716278076","3.9991328716278076","3.9991328716278076"
"58","3.955753803253174","3.955753803253174","3.955753803253174"
"59","3.9309213161468506","3.9309213161468506","3.9309213161468506"
"60","3.8990800380706787","3.8990800380706787","3.8990800380706787"
"61","3.872483968734741","3.872483968734741","3.872483968734741"
"62","3.8399569988250732","3.8399569988250732","3.8399569988250732"
"63","3.814401149749756","3.814401149749756","3.814401149749756"
"64","3.7825286388397217","3.7825286388397217","3.7825286388397217"
"65","3.758479356765747","3.758479356765747","3.758479356765747"
"66","3.718860626220703","3.718860626220703","3.718860626220703"
"67","3.7011842727661133","3.7011842727661133","3.7011842727661133"
"68","3.684577703475952","3.684577703475952","3.684577703475952"
"69","3.656132459640503","3.656132459640503","3.656132459640503"
"70","3.623628616333008","3.623628616333008","3.623628616333008"
"71","3.595104932785034","3.595104932785034","3.595104932785034"
"72","3.5719289779663086","3.5719289779663086","3.5719289779663086"
"73","3.5554914474487305","3.5554914474487305","3.5554914474487305"
"74","3.5423898696899414","3.5423898696899414","3.5423898696899414"
"75","3.4936420917510986","3.4936420917510986","3.4936420917510986"
"76","3.5007004737854004","3.5007004737854004","3.5007004737854004"
"77","3.4435031414031982","3.4435031414031982","3.4435031414031982"
"78","3.4617514610290527","3.4617514610290527","3.4617514610290527"
"79","3.411912679672241","3.411912679672241","3.411912679672241"
"80","3.396030902862549","3.396030902862549","3.396030902862549"
"81","3.390406608581543","3.390406608581543","3.390406608581543"
"82","3.3740780353546143","3.3740780353546143","3.3740780353546143"
"83","3.3612208366394043","3.3612208366394043","3.3612208366394043"
"84","3.3390519618988037","3.3390519618988037","3.3390519618988037"
"85","3.320577383041382","3.320577383041382","3.320577383041382"
"86","3.3026280403137207","3.3026280403137207","3.3026280403137207"
"87","3.2854714393615723","3.2854714393615723","3.2854714393615723"
"88","3.2753658294677734","3.2753658294677734","3.2753658294677734"
"89","3.2468161582946777","3.2468161582946777","3.2468161582946777"
"90","3.2347261905670166","3.2347261905670166","3.2347261905670166"
"91","3.227597713470459","3.227597713470459","3.227597713470459"
"92","3.2020621299743652","3.2020621299743652","3.2020621299743652"
"93","3.221074342727661","3.221074342727661","3.221074342727661"
"94","3.1906073093414307","3.1906073093414307","3.1906073093414307"
"95","3.171175479888916","3.171175479888916","3.171175479888916"
"96","3.167099714279175","3.167099714279175","3.167099714279175"
"97","3.147778272628784","3.147778272628784","3.147778272628784"
"98","3.138918876647949","3.138918876647949","3.138918876647949"
"99","3.1264867782592773","3.1264867782592773","3.1264867782592773"
"100","3.119218349456787","3.119218349456787","3.119218349456787"
"101","3.103671073913574","3.103671073913574","3.103671073913574"
"102","3.086885452270508","3.086885452270508","3.086885452270508"
"103","3.086376428604126","3.086376428604126","3.086376428604126"
"104","3.071909189224243","3.071909189224243","3.071909189224243"
"105","3.0336906909942627","3.0336906909942627","3.0336906909942627"
"106","3.0543558597564697","3.0543558597564697","3.0543558597564697"
"107","3.0241594314575195","3.0241594314575195","3.0241594314575195"
"108","3.0136630535125732","3.0136630535125732","3.0136630535125732"
"109","3.036729335784912","3.036729335784912","3.036729335784912"
"110","3.007084608078003","3.007084608078003","3.007084608078003"
"111","2.994778633117676","2.994778633117676","2.994778633117676"
"112","2.984337091445923","2.984337091445923","2.984337091445923"
"113","2.9725890159606934","2.9725890159606934","2.9725890159606934"
"114","2.966737985610962","2.966737985610962","2.966737985610962"
"115","2.9684860706329346","2.9684860706329346","2.9684860706329346"
"116","2.9520349502563477","2.9520349502563477","2.9520349502563477"
"117","2.937016725540161","2.937016725540161","2.937016725540161"
"118","2.941999912261963","2.941999912261963","2.941999912261963"
"119","2.9344482421875","2.9344482421875","2.9344482421875"
"120","2.936007022857666","2.936007022857666","2.936007022857666"
"121","2.917720317840576","2.917720317840576","2.917720317840576"
"122","2.910378932952881","2.910378932952881","2.910378932952881"
"123","2.89790940284729","2.89790940284729","2.89790940284729"
"124","2.869030475616455","2.869030475616455","2.869030475616455"
"125","2.8819949626922607","2.8819949626922607","2.8819949626922607"
"126","2.87768292427063","2.87768292427063","2.87768292427063"
"127","2.861022472381592","2.861022472381592","2.861022472381592"
"128","2.8624606132507324","2.8624606132507324","2.8624606132507324"
"129","2.849616050720215","2.849616050720215","2.849616050720215"
"130","2.8478288650512695","2.8478288650512695","2.8478288650512695"
"131","2.842139482498169","2.842139482498169","2.842139482498169"
"132","2.8260819911956787","2.8260819911956787","2.8260819911956787"
"133","2.809689521789551","2.809689521789551","2.809689521789551"
"134","2.813608169555664","2.813608169555664","2.813608169555664"
