"iteration","training-loss","Grouped runs - lm-loss-training/lm loss__MIN","Grouped runs - lm-loss-training/lm loss__MAX"
"2","7.3013129234313965","7.3013129234313965","7.3013129234313965"
"3","7.340851783752441","7.340851783752441","7.340851783752441"
"4","7.344920635223389","7.344920635223389","7.344920635223389"
"5","7.3245086669921875","7.3245086669921875","7.3245086669921875"
"6","7.315854549407959","7.315854549407959","7.315854549407959"
"7","7.32257080078125","7.32257080078125","7.32257080078125"
"8","7.304076194763184","7.304076194763184","7.304076194763184"
"9","7.238794803619385","7.238794803619385","7.238794803619385"
"10","7.251822471618652","7.251822471618652","7.251822471618652"
"11","7.200234413146973","7.200234413146973","7.200234413146973"
"12","6.9997711181640625","6.9997711181640625","6.9997711181640625"
"13","6.980302810668945","6.980302810668945","6.980302810668945"
"14","6.9507155418396","6.9507155418396","6.9507155418396"
"15","6.493913650512695","6.493913650512695","6.493913650512695"
"16","6.4390435218811035","6.4390435218811035","6.4390435218811035"
"17","6.399647235870361","6.399647235870361","6.399647235870361"
"18","6.331980228424072","6.331980228424072","6.331980228424072"
"19","6.297096252441406","6.297096252441406","6.297096252441406"
"20","6.068231582641602","6.068231582641602","6.068231582641602"
"21","6.042209148406982","6.042209148406982","6.042209148406982"
"22","5.9848432540893555","5.9848432540893555","5.9848432540893555"
"23","5.910825729370117","5.910825729370117","5.910825729370117"
"24","5.859890937805176","5.859890937805176","5.859890937805176"
"25","5.795469760894775","5.795469760894775","5.795469760894775"
"26","5.770569324493408","5.770569324493408","5.770569324493408"
"27","5.7313666343688965","5.7313666343688965","5.7313666343688965"
"28","5.580167770385742","5.580167770385742","5.580167770385742"
"29","5.519556045532227","5.519556045532227","5.519556045532227"
"30","5.446061611175537","5.446061611175537","5.446061611175537"
"31","5.4111857414245605","5.4111857414245605","5.4111857414245605"
"32","5.344620227813721","5.344620227813721","5.344620227813721"
"33","5.325386047363281","5.325386047363281","5.325386047363281"
"34","5.235349655151367","5.235349655151367","5.235349655151367"
"35","5.210718631744385","5.210718631744385","5.210718631744385"
"36","5.155368328094482","5.155368328094482","5.155368328094482"
"37","5.083829879760742","5.083829879760742","5.083829879760742"
"38","5.0491814613342285","5.0491814613342285","5.0491814613342285"
"39","4.9877519607543945","4.9877519607543945","4.9877519607543945"
"40","4.927703857421875","4.927703857421875","4.927703857421875"
"41","4.873562335968018","4.873562335968018","4.873562335968018"
"42","4.827065467834473","4.827065467834473","4.827065467834473"
"43","4.783939361572266","4.783939361572266","4.783939361572266"
"44","4.733793258666992","4.733793258666992","4.733793258666992"
"45","4.692910194396973","4.692910194396973","4.692910194396973"
"46","4.61978816986084","4.61978816986084","4.61978816986084"
"47","4.5702738761901855","4.5702738761901855","4.5702738761901855"
"48","4.533337593078613","4.533337593078613","4.533337593078613"
"49","4.485982894897461","4.485982894897461","4.485982894897461"
"50","4.445691108703613","4.445691108703613","4.445691108703613"
"51","4.422208309173584","4.422208309173584","4.422208309173584"
"52","4.3592848777771","4.3592848777771","4.3592848777771"
"53","4.338881492614746","4.338881492614746","4.338881492614746"
"54","4.299983024597168","4.299983024597168","4.299983024597168"
"55","4.239779472351074","4.239779472351074","4.239779472351074"
"56","4.227970123291016","4.227970123291016","4.227970123291016"
"57","4.165927886962891","4.165927886962891","4.165927886962891"
"58","4.121021270751953","4.121021270751953","4.121021270751953"
"59","4.092159748077393","4.092159748077393","4.092159748077393"
"60","4.057295799255371","4.057295799255371","4.057295799255371"
"61","4.0301103591918945","4.0301103591918945","4.0301103591918945"
"62","3.997403621673584","3.997403621673584","3.997403621673584"
"63","3.9709348678588867","3.9709348678588867","3.9709348678588867"
"64","3.935749053955078","3.935749053955078","3.935749053955078"
"65","3.9087765216827393","3.9087765216827393","3.9087765216827393"
"66","3.8670010566711426","3.8670010566711426","3.8670010566711426"
"67","3.8460350036621094","3.8460350036621094","3.8460350036621094"
"68","3.8280529975891113","3.8280529975891113","3.8280529975891113"
"69","3.7941715717315674","3.7941715717315674","3.7941715717315674"
"70","3.7584569454193115","3.7584569454193115","3.7584569454193115"
"71","3.728907346725464","3.728907346725464","3.728907346725464"
"72","3.700593948364258","3.700593948364258","3.700593948364258"
"73","3.6841211318969727","3.6841211318969727","3.6841211318969727"
"74","3.666701316833496","3.666701316833496","3.666701316833496"
"75","3.6156551837921143","3.6156551837921143","3.6156551837921143"
"76","3.621173620223999","3.621173620223999","3.621173620223999"
"77","3.5625221729278564","3.5625221729278564","3.5625221729278564"
"78","3.578690767288208","3.578690767288208","3.578690767288208"
"79","3.5302748680114746","3.5302748680114746","3.5302748680114746"
"80","3.5101683139801025","3.5101683139801025","3.5101683139801025"
"81","3.5064802169799805","3.5064802169799805","3.5064802169799805"
"82","3.4877774715423584","3.4877774715423584","3.4877774715423584"
"83","3.474777936935425","3.474777936935425","3.474777936935425"
"84","3.4508605003356934","3.4508605003356934","3.4508605003356934"
"85","3.4294004440307617","3.4294004440307617","3.4294004440307617"
"86","3.411406993865967","3.411406993865967","3.411406993865967"
"87","3.392162561416626","3.392162561416626","3.392162561416626"
"88","3.3810462951660156","3.3810462951660156","3.3810462951660156"
"89","3.3494977951049805","3.3494977951049805","3.3494977951049805"
"90","3.3377716541290283","3.3377716541290283","3.3377716541290283"
"91","3.329890012741089","3.329890012741089","3.329890012741089"
"92","3.302572250366211","3.302572250366211","3.302572250366211"
"93","3.3216607570648193","3.3216607570648193","3.3216607570648193"
"94","3.2908742427825928","3.2908742427825928","3.2908742427825928"
"95","3.2674059867858887","3.2674059867858887","3.2674059867858887"
"96","3.2646453380584717","3.2646453380584717","3.2646453380584717"
"97","3.244527816772461","3.244527816772461","3.244527816772461"
"98","3.2335240840911865","3.2335240840911865","3.2335240840911865"
"99","3.2194511890411377","3.2194511890411377","3.2194511890411377"
