"iteration","training-loss","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MIN","Mistral-7b-VE-algebraic-stack-a100-16node-128gpu-4096s-BS=1024-LR=6e-5-MINLR=2e-6-WARMUP=1000-WD=0.1-GC=1 - training/loss__MAX"
"1","6.3710808753967285","6.3710808753967285","6.3710808753967285"
"2","5.634152889251709","5.634152889251709","5.634152889251709"
"3","5.431414604187012","5.431414604187012","5.431414604187012"
"4","5.342959403991699","5.342959403991699","5.342959403991699"
"5","5.249887466430664","5.249887466430664","5.249887466430664"
"6","5.1446075439453125","5.1446075439453125","5.1446075439453125"
"7","5.086034297943115","5.086034297943115","5.086034297943115"
"8","4.988093376159668","4.988093376159668","4.988093376159668"
"9","4.920137882232666","4.920137882232666","4.920137882232666"
"10","4.871244430541992","4.871244430541992","4.871244430541992"
"11","4.807213306427002","4.807213306427002","4.807213306427002"
"12","4.755129337310791","4.755129337310791","4.755129337310791"
"13","4.713428020477295","4.713428020477295","4.713428020477295"
"14","4.628480434417725","4.628480434417725","4.628480434417725"
"15","4.6166672706604","4.6166672706604","4.6166672706604"
"16","4.542323589324951","4.542323589324951","4.542323589324951"
"17","4.504705429077148","4.504705429077148","4.504705429077148"
"18","4.485645771026611","4.485645771026611","4.485645771026611"
"19","4.4437737464904785","4.4437737464904785","4.4437737464904785"
"20","4.371530055999756","4.371530055999756","4.371530055999756"
"21","4.346588134765625","4.346588134765625","4.346588134765625"
"22","4.302262783050537","4.302262783050537","4.302262783050537"
"23","4.278658866882324","4.278658866882324","4.278658866882324"
"24","4.234072208404541","4.234072208404541","4.234072208404541"
"25","4.225744724273682","4.225744724273682","4.225744724273682"
"26","4.163164138793945","4.163164138793945","4.163164138793945"
"27","4.135745048522949","4.135745048522949","4.135745048522949"
"28","4.08717679977417","4.08717679977417","4.08717679977417"
"29","4.072731018066406","4.072731018066406","4.072731018066406"
"30","4.055532455444336","4.055532455444336","4.055532455444336"
"31","4.017520427703857","4.017520427703857","4.017520427703857"
